"Cookie Settings","Paramètres des cookies"
"Indicates you have accepted the cookie policy","Indique que vous avez accepté la politique de cookies"
"Recently Viewed Products","Produits récemment consultés"
"Shows products you have recently looked at","Affiche les produits que vous avez récemment consultés"
"Stores IDs of products you have viewed","Stocke les ID des produits que vous avez consultés"
"Stores previously viewed products from earlier sessions","Stocke les produits précédemment consultés des sessions antérieures"
"Product Comparison","Comparaison de produits"
"Enables the product comparison feature","Active la fonctionnalité de comparaison de produits"
"Stores IDs of products you are comparing","Stocke les ID des produits que vous comparez"
"Stores previously compared products from earlier sessions","Stocke les produits précédemment comparés des sessions antérieures"
"Product Data Cache","Cache de données produit"
"Caches product information for faster browsing","Met en cache les informations produit pour une navigation plus rapide"
"Supports recently viewed and compare product features","Prend en charge les fonctionnalités produits récemment consultés et comparaison"
"Cookie","Cookie"
"Description","Description"
"Duration","Durée"
