"Cookie Settings","Configuración de cookies"
"Ensures personalized content is not served from server cache","Asegura que el contenido personalizado no se sirva desde la caché del servidor"
"Indicates when a cached page needs to be refreshed","Indica cuándo una página en caché necesita actualizarse"
"Shopping Cart","Carrito de compras"
"Essential for your shopping cart to function correctly","Esencial para que su carrito de compras funcione correctamente"
"Stores customer-specific shopping data like cart contents","Almacena datos de compra específicos del cliente como el contenido del carrito"
"Signals when shopping data needs to be refreshed","Señala cuándo los datos de compra necesitan actualizarse"
"Notifications","Notificaciones"
"Displays important messages like order confirmations and errors","Muestra mensajes importantes como confirmaciones de pedido y errores"
"Stores messages to display to you, such as error or success notifications","Almacena mensajes para mostrarle, como notificaciones de error o éxito"
"Store Selection","Selección de tienda"
"Remembers your selected store view and language","Recuerda la vista de tienda e idioma seleccionados"
"Tracks the store view or language you selected","Rastrea la vista de tienda o idioma que seleccionó"
"Guest Checkout","Compra como invitado"
"Enables order tracking and login redirects for guests","Habilita el seguimiento de pedidos y redirecciones de inicio de sesión para invitados"
"Links guest orders to your browser for order tracking","Vincula pedidos de invitado a su navegador para seguimiento"
"Saves the page to redirect you to after logging in","Guarda la página a la que redirigirle después de iniciar sesión"
"Persistent Cart","Carrito persistente"
"Restores your shopping cart when you return to the website","Restaura su carrito de compras cuando regresa al sitio web"
"Remembers your cart contents between visits","Recuerda el contenido de su carrito entre visitas"
"Magento Cookie Notice","Aviso de cookies de Magento"
"Magento's built-in cookie consent tracking","Seguimiento de consentimiento de cookies integrado de Magento"
"Indicates you have accepted the cookie policy","Indica que ha aceptado la política de cookies"
"Recently Viewed Products","Productos vistos recientemente"
"Shows products you have recently looked at","Muestra productos que ha visto recientemente"
"Stores IDs of products you have viewed","Almacena IDs de productos que ha visto"
"Stores previously viewed products from earlier sessions","Almacena productos vistos anteriormente de sesiones previas"
"Product Comparison","Comparación de productos"
"Enables the product comparison feature","Habilita la función de comparación de productos"
"Stores IDs of products you are comparing","Almacena IDs de productos que está comparando"
"Stores previously compared products from earlier sessions","Almacena productos comparados anteriormente de sesiones previas"
"Product Data Cache","Caché de datos de producto"
"Caches product information for faster browsing","Almacena en caché información de productos para navegación más rápida"
"Supports recently viewed and compare product features","Soporta las funciones de productos vistos recientemente y comparación"
"Cookie","Cookie"
"Description","Descripción"
"Duration","Duración"
